itemset,support,length
{np.str_('Oranges')},0.15733333333333333,1
{np.str_('Flour')},0.15633333333333332,1
{np.str_('Milk')},0.15633333333333332,1
{np.str_('Cheese')},0.15433333333333332,1
{np.str_('Coffee')},0.154,1
{np.str_('Potatoes')},0.154,1
{np.str_('Oil')},0.15333333333333332,1
{np.str_('Pasta')},0.15333333333333332,1
{np.str_('Juice')},0.15233333333333332,1
{np.str_('Sugar')},0.15233333333333332,1
{np.str_('Beef')},0.15166666666666667,1
{np.str_('Biscuits')},0.15166666666666667,1
{np.str_('Chocolate')},0.151,1
{np.str_('Bananas')},0.15033333333333335,1
{np.str_('Tea')},0.15,1
{np.str_('Carrots')},0.14966666666666667,1
{np.str_('Rice')},0.14933333333333335,1
{np.str_('Tomatoes')},0.149,1
{np.str_('Eggs')},0.14833333333333334,1
{np.str_('Salt')},0.148,1
{np.str_('Yogurt')},0.148,1
{np.str_('Bread')},0.14633333333333334,1
{np.str_('Apples')},0.14566666666666667,1
{np.str_('Grapes')},0.14533333333333334,1
{np.str_('Chicken')},0.145,1
{np.str_('Butter')},0.14366666666666666,1
{np.str_('Soda')},0.14333333333333334,1
{np.str_('Cereal')},0.14233333333333334,1
{np.str_('Onions')},0.14166666666666666,1
{np.str_('Fish')},0.137,1
