support,itemsets,length
0.15733333333333333,frozenset({np.str_('Oranges')}),1
0.15633333333333332,frozenset({np.str_('Flour')}),1
0.15633333333333332,frozenset({np.str_('Milk')}),1
0.15433333333333332,frozenset({np.str_('Cheese')}),1
0.154,frozenset({np.str_('Coffee')}),1
0.154,frozenset({np.str_('Potatoes')}),1
0.15333333333333332,frozenset({np.str_('Oil')}),1
0.15333333333333332,frozenset({np.str_('Pasta')}),1
0.15233333333333332,frozenset({np.str_('Juice')}),1
0.15233333333333332,frozenset({np.str_('Sugar')}),1
0.15166666666666667,frozenset({np.str_('Beef')}),1
0.15166666666666667,frozenset({np.str_('Biscuits')}),1
0.151,frozenset({np.str_('Chocolate')}),1
0.15033333333333335,frozenset({np.str_('Bananas')}),1
0.15,frozenset({np.str_('Tea')}),1
0.14966666666666667,frozenset({np.str_('Carrots')}),1
0.14933333333333335,frozenset({np.str_('Rice')}),1
0.149,frozenset({np.str_('Tomatoes')}),1
0.14833333333333334,frozenset({np.str_('Eggs')}),1
0.148,frozenset({np.str_('Salt')}),1
0.148,frozenset({np.str_('Yogurt')}),1
0.14633333333333334,frozenset({np.str_('Bread')}),1
0.14566666666666667,frozenset({np.str_('Apples')}),1
0.14533333333333334,frozenset({np.str_('Grapes')}),1
0.145,frozenset({np.str_('Chicken')}),1
0.14366666666666666,frozenset({np.str_('Butter')}),1
0.14333333333333334,frozenset({np.str_('Soda')}),1
0.14233333333333334,frozenset({np.str_('Cereal')}),1
0.14166666666666666,frozenset({np.str_('Onions')}),1
0.137,frozenset({np.str_('Fish')}),1
